,Vs,Vr,Vl,I,
167,0,0.0421467,-0.0421467,0.0421467,125
172,0,0.008633,-0.008633,0.008633,175
173,1,0.1812692,0.8187308,0.1812692,100
173,0,0.0057868,-0.0057868,0.0057868,179
174,0,0.189858,-0.189858,0.189858,15
174,0,0.0142333,-0.0142333,0.0142333,170
175,0,0.0011683,-0.0011683,0.0011683,195
179,1,0.9670638,0.0329362,0.9670638,86
181,-0.5877853,-0.1168825,-0.4709027,-0.1168825,19
186,0,-0.0011683,0.0011683,-0.0011683,246
188,1,0.8197088,0.1802912,0.8197088,69
190,0,0.2493706,-0.2493706,0.2493706,5
190,-0.9510565,-0.0679895,-0.883067,-0.0679895,38
191,0.5877853,0.2441482,0.3436371,0.2441482,4
192,0,0.311424,-0.311424,0.311424,105
194,-0.9510565,0.034903,-0.9859596,0.034903,27
194,0,0,0,0,51
194,1,0.7797918,0.2202082,0.7797918,67
194,0,0.0047379,-0.0047379,0.0047379,181
194,0,0.0015771,-0.0015771,0.0015771,192
194,0,-0.0028737,0.0028737,-0.0028737,237
195,1,0.338458,0.661542,0.338458,56
195,0,0.0008655,-0.0008655,0.0008655,198
198,0,0.1145665,-0.1145665,0.1145665,115
200,-0.9510565,-0.0458037,-0.9052528,-0.0458037,18
200,0,-0.0779125,0.0779125,-0.0779125,204
201,0,0.0951626,-0.0951626,0.0951626,151
201,0,-0.0212336,0.0212336,-0.0212336,217
201,0,-0.0026002,0.0026002,-0.0026002,238
204,0,0.0128789,-0.0128789,0.0128789,171
204,0,-0.0105443,0.0105443,-0.0105443,224
205,1,0.9336746,0.0663254,0.9336746,79
205,0,0.1399318,-0.1399318,0.1399318,113
206,0,0.0522263,-0.0522263,0.0522263,157
206,0,-0.0047379,0.0047379,-0.0047379,232
207,1,0.8007474,0.1992526,0.8007474,68
208,0,-0.0522263,0.0522263,-0.0522263,208
210,0.5877853,-0.0593879,0.6471731,-0.0593879,11
210,0,0.031223,-0.031223,0.031223,128
211,-0.9510565,0.0528279,-1.0038844,0.0528279,17
211,0,0.1679646,-0.1679646,0.1679646,25
211,-0.5877853,0.1152984,-0.7030837,0.1152984,36
212,0,0.0171356,-0.0171356,0.0171356,134
212,0,-0.0234668,0.0234668,-0.0234668,216
213,0.9510565,0.0771871,0.8738694,0.0771871,33
217,0,-0.001427,0.001427,-0.001427,244
218,0,-0.0286624,0.0286624,-0.0286624,214
219,0,0.3441767,-0.3441767,0.3441767,104
219,0,0.1546486,-0.1546486,0.1546486,112
219,0,0.0076995,-0.0076995,0.0076995,142
219,0,0.0063955,-0.0063955,0.0063955,178
220,0.5877853,0.1783766,0.4094087,0.1783766,14
220,0,0.0704982,-0.0704982,0.0704982,154
221,0,0.0694881,-0.0694881,0.0694881,120
222,1,0,1,0,98
222,0,-0.0259348,0.0259348,-0.0259348,215
222,0,-0.0057868,0.0057868,-0.0057868,230
224,1,0.268883,0.731117,0.268883,55
227,0,0.2087537,-0.2087537,0.2087537,109
228,0,0.0010572,-0.0010572,0.0010572,196
230,0,-0.147495,0.147495,-0.147495,30
231,0,0.0051611,-0.0051611,0.0051611,146
231,0,0,0,0,149
236,0,0.0069668,-0.0069668,0.0069668,143
236,0,-0.0427593,0.0427593,-0.0427593,210
237,0,0.0126943,-0.0126943,0.0126943,137
239,0,-0.1342159,0.1342159,-0.1342159,20
240,0,0.0140294,-0.0140294,0.0140294,136
242,0,0.0282517,-0.0282517,0.0282517,129
242,0,0.0103932,-0.0103932,0.0103932,139
243,1,0.636938,0.363062,0.636938,62
243,0,-0.0386902,0.0386902,-0.0386902,211
243,0,-0.0350084,0.0350084,-0.0350084,212
245,0,0.0255632,-0.0255632,0.0255632,130
248,0,-0.0009566,0.0009566,-0.0009566,248
249,0,0.0023528,-0.0023528,0.0023528,188
