Vs,Vr,Vl,I
0,-0.0105443,0.0105443,-0.0105443
1,0.9336746,0.0663254,0.9336746
0,0.1399318,-0.1399318,0.1399318
0,0.0522263,-0.0522263,0.0522263
0,-0.0047379,0.0047379,-0.0047379
1,0.8007474,0.1992526,0.8007474
0,-0.0522263,0.0522263,-0.0522263
0.5877853,-0.0593879,0.6471731,-0.0593879
0,0.031223,-0.031223,0.031223
-0.9510565,0.0528279,-1.0038844,0.0528279
0,0.1679646,-0.1679646,0.1679646
-0.5877853,0.1152984,-0.7030837,0.1152984
0,0.0171356,-0.0171356,0.0171356
0,-0.0234668,0.0234668,-0.0234668
0.9510565,0.0771871,0.8738694,0.0771871
0,-0.001427,0.001427,-0.001427
0,-0.0286624,0.0286624,-0.0286624
0,0.3441767,-0.3441767,0.3441767
0,0.1546486,-0.1546486,0.1546486
0,0.0076995,-0.0076995,0.0076995
0,0.0063955,-0.0063955,0.0063955
0.5877853,0.1783766,0.4094087,0.1783766
0,0.0704982,-0.0704982,0.0704982
0,0.0694881,-0.0694881,0.0694881
1,0,1,0
0,-0.0259348,0.0259348,-0.0259348
0,-0.0057868,0.0057868,-0.0057868
1,0.268883,0.731117,0.268883
0,0.2087537,-0.2087537,0.2087537
0,0.0010572,-0.0010572,0.0010572
0,-0.147495,0.147495,-0.147495
0,0.0051611,-0.0051611,0.0051611
0,0,0,0
0,0.0069668,-0.0069668,0.0069668
0,-0.0427593,0.0427593,-0.0427593
0,0.0126943,-0.0126943,0.0126943
0,-0.1342159,0.1342159,-0.1342159
0,0.0140294,-0.0140294,0.0140294
0,0.0282517,-0.0282517,0.0282517
0,0.0103932,-0.0103932,0.0103932
1,0.636938,0.363062,0.636938
0,-0.0386902,0.0386902,-0.0386902
0,-0.0350084,0.0350084,-0.0350084
0,0.0255632,-0.0255632,0.0255632
0,-0.0009566,0.0009566,-0.0009566
0,0.0023528,-0.0023528,0.0023528
