lifeexpectancyatbirth,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64
Netherlands,71,72,72,72,72,73,73,73,73,73,73,74,73,73,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79,80,80,80,80,80,81,81,81
New_Zealand,69,69,69,70,70,70,71,70,71,71,71,71,71,71,71,71,71,72,71,72,71,72,72,72,72,72,72,72,73,73,73,74,74,74,74,74,74,74,75,75,76,76,76,77,77,77,77,78,78,78,79,79,79,79,80,80,80,80,80,81,81,81,81
Nicaragua,41,41,42,43,43,44,44,45,46,46,47,48,48,49,50,50,51,52,52,53,54,54,55,56,56,57,57,57,58,58,59,59,59,60,60,61,61,62,63,63,64,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,72,73,73,73,74,74,75
Niger,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,38,38,38,39,39,40,40,41,41,42,42,43,43,43,44,45,45,46,46,47,48,49,49,50,51,51,52,53,53,54,55,55,56,56,57,57,58
Nigeria,33,33,34,34,35,35,35,36,36,37,37,38,38,39,39,39,40,40,40,41,41,42,42,42,43,43,44,44,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,48,48,49,49,50,50,51,51,52,52
Norway,72,73,73,73,73,73,73,73,73,74,74,74,73,73,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,77,77,77,78,78,78,78,78,78,79,79,79,80,80,80,81,81,81,81,81,81,81
Oman,34,35,36,37,37,38,39,40,41,42,43,43,44,45,46,47,47,48,49,50,50,51,52,53,54,55,56,57,58,59,60,61,62,62,63,64,65,65,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,73,74,74,74,75,75,75,76,76,76
Pakistan,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,51,52,52,53,53,54,55,55,56,56,56,57,57,58,58,58,59,59,59,60,60,60,61,61,61,61,62,62,62,63,63,63,63,64,64,64,64,65,65,65,65,66,66,66,66,66,66
Panama,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,69,70,70,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,74,75,75,75,75,75,75,76,76,76,76,76,77,77,77,77,77
Paraguay,63,63,63,63,63,63,63,63,63,64,64,64,64,64,65,65,65,65,65,65,65,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,69,69,69,69,69,70,70,70,70,71,71,71,71,72,72,72,72,72,72,72
Peru,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,53,53,54,55,56,56,57,58,58,59,59,60,61,61,62,62,63,63,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,71,72,72,72,73,73,73,74,74,74,75
Philippines,55,55,55,56,56,56,57,57,57,58,58,58,58,59,59,59,60,60,60,61,61,61,61,61,61,62,62,62,62,62,62,62,63,63,63,64,64,64,65,65,65,65,66,66,66,66,66,66,66,67,67,67,67,67,67,67,68,68,68,68,68,68,69
Poland,59,60,61,62,63,64,65,65,66,66,68,68,68,69,69,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,70,71,71,71,71,71,71,71,71,71,71,70,71,72,72,72,72,73,73,73,74,74,75,75,75,75,75,76,76,76,76,76,76
Portugal,59,59,60,61,62,61,61,62,64,63,64,63,64,65,65,66,66,67,67,67,67,67,69,69,69,69,69,70,71,72,72,72,73,73,73,73,74,74,74,75,74,74,75,75,76,76,76,76,76,76,77,77,77,77,78,78,79,79,79,79,79,80,80
Romania,61,61,61,61,61,62,62,63,64,65,66,66,67,68,68,68,68,68,68,68,68,68,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,72,72,72,73,73,73,73,73,74,74
Russia,57,64,64,65,65,66,66,67,67,68,69,69,69,69,70,69,70,69,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,68,68,70,70,70,70,69,69,68,65,64,65,66,67,67,66,65,65,65,65,65,65,67,68,68,67,68,68,68
Rwanda,39,40,40,40,40,41,41,41,42,42,42,43,43,43,43,44,44,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,47,47,47,47,48,48,48,48,49,49,49,49,28,31,35,39,43,46,48,49,50,52,53,55,57,59,60,61,62,63,64
Sao_Tome_and_Principe,46,46,46,47,47,48,48,49,49,50,50,51,52,52,53,53,54,54,55,55,56,56,57,58,58,59,59,60,60,60,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,63,63,63,63,63,63,64,64,64,64,65,65,65,66,66,66,66,66
Saudi Arabia,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,65,66,67,67,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,74,74,75,75,75,75
Senegal,35,35,35,36,36,37,37,37,38,38,38,38,38,38,38,38,38,38,39,39,39,40,41,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,56,57,57,57,58,58,57,57,57,57,57,58,58,58,59,59,60,61,61,62,62,63,63,63,63
Serbia,58,58,59,59,60,60,61,61,62,62,63,63,64,65,65,66,66,67,67,67,68,68,68,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,74,74,74,74
Seychelles,58,58,58,58,58,58,59,59,60,60,61,62,62,63,63,64,64,64,65,65,66,66,67,67,68,68,69,69,69,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,73,73,73,73
Sierra_Leone,28,29,29,29,29,29,30,30,30,30,30,31,31,31,31,32,32,32,33,34,35,35,36,37,38,38,39,40,40,40,41,41,41,41,41,40,40,39,39,38,37,37,36,36,36,36,36,36,37,37,38,39,40,40,41,42,43,44,44,45,45,45,45
Singapore,58,59,60,61,62,62,63,64,64,65,65,66,66,66,67,67,67,67,67,68,68,68,69,69,70,70,70,71,71,72,72,72,73,73,73,74,74,75,75,76,76,76,77,77,77,77,78,78,78,78,78,79,79,79,80,80,81,81,81,82,82,82,82
Slovak_Republic,61,61,64,66,67,68,68,67,69,69,70,71,70,71,71,70,70,71,70,70,70,70,70,70,70,70,70,70,70,71,70,71,71,70,71,71,71,71,71,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75
Slovenia,64,65,65,66,66,67,67,68,68,68,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,72,72,72,73,73,74,74,74,74,74,75,75,75,75,76,76,76,77,77,77,78,78,78,78,79,79,79,79
Somalia,33,33,34,34,35,35,35,36,36,37,37,37,38,38,39,39,39,40,40,41,41,41,42,42,42,43,43,44,44,44,45,45,45,46,46,46,46,46,46,46,45,45,45,46,46,47,48,49,50,50,51,51,52,52,52,52,53,53,53,54,53,50,54
South_Africa,44,44,45,45,46,47,47,48,48,49,49,49,50,50,51,51,51,52,52,52,53,53,54,54,54,55,55,55,56,56,57,58,58,59,59,60,60,61,61,62,62,62,62,62,62,61,61,60,58,57,56,55,54,53,52,52,52,52,53,54,55,55,56
South_Sudan,27,27,28,28,29,29,30,30,31,31,32,32,33,33,33,34,34,35,35,35,36,36,37,37,37,38,38,38,39,39,39,39,39,40,40,40,41,42,42,43,44,44,45,46,46,47,47,48,48,49,49,50,50,50,51,51,52,52,52,53,53,54,55
Spain,62,62,65,66,67,67,67,67,69,69,69,70,70,70,71,71,71,71,72,71,72,72,73,73,73,74,74,74,75,75,76,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,79,79,79,79,80,80,80,80,80,81,81,81,81,82,82,82
Sri_Lanka,52,53,54,55,56,57,57,58,59,59,59,60,60,61,61,62,62,63,63,64,64,65,65,65,66,66,66,67,67,68,68,69,69,69,69,69,69,69,69,69,70,70,70,70,69,69,69,69,70,70,71,72,73,73,73,74,74,74,74,74,74,74,74
Sudan,43,44,44,45,45,46,46,47,47,48,48,49,49,49,50,50,51,51,51,52,52,53,53,53,53,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,56,56,56,56,56,57,57,57,57,58,58,58,59,59,60,60,60,61,61,61,61,62,62
Swaziland,40,41,41,42,42,43,43,43,44,44,44,45,45,45,45,46,46,47,47,47,48,49,49,50,50,51,52,52,53,54,54,55,56,56,57,57,58,59,59,59,59,59,59,58,58,56,55,53,52,50,49,47,47,46,46,46,46,47,47,48,48,49,49
Sweden,71,71,72,72,72,73,73,72,73,73,73,74,73,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,79,79,79,79,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82
Switzerland,69,69,70,70,70,70,70,71,71,71,71,72,71,71,72,72,72,73,73,73,73,73,74,74,74,75,75,75,75,76,76,76,76,76,77,77,77,77,77,78,77,78,78,78,79,79,79,79,80,80,80,80,81,81,81,81,82,82,82,82,82,82,82
Syria,48,48,48,49,50,50,51,51,52,52,53,53,54,54,55,56,56,57,58,58,59,60,61,61,62,63,63,64,65,65,66,66,67,67,68,68,69,69,70,70,70,71,71,71,72,72,72,72,73,73,73,74,74,74,74,75,75,75,75,75,75,73,71
Taiwan,55,55,58,60,62,62,62,62,64,64,64,65,65,66,67,67,67,68,68,69,69,69,69,69,70,70,70,71,71,71,72,72,72,72,73,73,73,73,73,73,74,74,74,75,75,74,75,75,75,75,76,76,77,77,77,77,78,78,78,79,79,79,79
Tajikistan,52,52,53,53,54,54,54,55,55,56,56,57,57,57,58,58,59,59,59,60,60,60,61,61,61,61,62,62,62,62,62,63,63,63,63,63,64,63,63,63,63,63,62,62,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,67,67,67,67
Tanzania,40,41,41,41,42,42,43,43,43,43,44,44,44,44,45,45,45,46,46,46,47,47,48,48,48,49,49,50,50,50,51,51,51,51,51,51,51,51,51,51,50,50,50,50,49,49,49,49,49,50,50,51,51,52,53,54,55,56,57,58,59,60,61
Thailand,51,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,58,59,59,60,60,60,61,61,62,62,63,63,64,64,65,65,66,67,68,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,73,73,73,74,74,74,74
Togo,34,34,35,36,36,37,38,38,39,40,40,41,42,42,43,43,44,45,45,46,47,47,48,48,49,50,50,51,51,52,52,53,53,54,54,55,55,55,56,56,56,56,56,55,55,55,54,54,54,54,54,54,54,54,54,54,54,55,55,55,56,56,56
Trinidad_and_Tobago,57,57,58,58,59,59,60,61,61,62,63,63,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,70,70,70
Tunisia,38,38,39,39,39,40,40,40,41,41,42,43,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,65,66,66,67,68,68,69,69,70,71,71,71,72,72,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76
Turkey,40,40,41,41,42,42,43,43,44,45,45,46,47,48,48,49,50,50,51,52,52,53,53,54,55,55,56,57,57,58,59,59,60,61,61,62,62,63,63,64,64,65,65,66,66,67,68,68,69,69,70,71,71,72,72,72,73,73,74,74,74,75,75
Turkmenistan,50,51,51,52,52,52,53,53,54,54,54,55,55,56,56,57,57,57,58,58,58,59,59,59,59,60,60,60,60,61,61,61,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65
Uganda,39,39,40,40,41,41,42,42,43,43,44,45,45,46,46,47,47,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,48,47,47,46,46,46,46,46,47,47,48,49,50,51,52,53,54,55,56,57,57,58,59
Ukraine,64,65,66,66,67,68,68,69,70,69,71,71,71,71,72,72,72,72,72,71,71,71,71,71,71,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,70,70,69,68,68,67,67,68,69,68,68,68,68,68,68,67,68,68,68,68,68,68,68
United_Kingdom,69,68,70,70,70,70,70,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,77,77,77,77,77,78,78,78,78,79,79,79,80,79,79,80,80,80,80
United_States,68,68,68,69,70,70,70,69,70,70,70,70,70,70,70,70,70,71,70,71,71,71,71,72,72,73,73,73,74,74,74,74,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,77,77,77,77,77,77,78,77,78,78,78,78,79,79,79
Uruguay,66,66,66,66,66,67,67,67,67,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,71,71,71,71,72,72,72,72,72,73,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,77,77,77,77
Uzbekistan,55,55,56,56,56,57,57,58,58,59,59,59,60,60,61,61,62,62,62,63,63,63,64,64,64,64,64,65,65,65,65,66,66,66,67,67,67,67,67,67,67,67,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68
Venezuela,54,54,55,55,56,57,57,58,58,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,67,67,68,68,68,68,69,69,69,70,70,70,71,71,71,71,71,72,72,72,72,72,72,72,72,73,73,73,73,73,73,74,74,74,74,74,74
West_Bank_and_Gaza,46,46,46,47,47,47,48,48,48,49,49,50,50,51,52,52,53,54,54,55,56,56,57,58,58,59,60,61,61,62,63,63,64,65,65,66,66,67,67,68,68,68,69,69,69,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73
Vietnam,52,52,53,54,55,56,56,57,58,58,59,60,60,61,62,62,62,62,61,60,60,59,59,59,60,61,63,65,66,67,68,68,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,74,74,75,75,75,75,75,75,75,76,76
Yemen__Rep_,23,24,25,26,27,28,29,30,30,31,32,33,34,35,36,37,38,39,40,40,41,42,43,44,45,46,47,48,49,50,51,52,53,53,54,55,56,56,57,57,58,58,59,59,59,59,59,60,60,60,60,61,61,61,61,62,62,62,62,62,63,63,63
Zambia,41,41,42,42,43,43,44,44,44,45,45,46,46,46,47,47,47,48,48,49,49,50,50,50,51,51,51,51,51,51,51,51,50,50,49,48,47,47,46,45,44,43,42,42,41,41,41,41,41,41,42,43,43,45,46,47,49,50,52,53,55,56,57
Zimbabwe,48,48,48,49,49,50,50,50,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,58,58,59,59,60,60,61,61,61,61,61,61,60,59,58,57,55,53,51,50,48,46,45,44,43,43,43,43,44,45,47,49,51,54,56,58
