time,x,y,z
9.699,3.028,-1.660,27.974
9.717,2.267,-1.597,26.604
9.738,1.528,-1.477,25.058
9.760,0.956,-1.349,23.622
9.781,0.522,-1.243,22.284
9.803,0.191,-1.171,21.031
9.827,-0.107,-1.132,19.698
9.852,-0.337,-1.150,18.456
9.876,-0.517,-1.232,17.302
9.901,-0.680,-1.371,16.226
9.923,-0.838,-1.546,15.305
9.946,-1.006,-1.780,14.447
9.968,-1.191,-2.083,13.652
9.991,-1.407,-2.463,12.921
10.018,-1.725,-3.033,12.143
10.044,-2.121,-3.770,11.475
10.071,-2.617,-4.720,10.943
10.098,-3.250,-5.930,10.593
10.127,-4.153,-7.611,10.504
10.157,-5.320,-9.769,10.874
10.186,-6.801,-12.422,11.950
10.216,-8.626,-15.423,14.087
10.234,-9.908,-17.296,16.097
10.252,-11.277,-18.996,18.741
10.270,-12.672,-20.287,22.031
10.288,-13.996,-20.894,25.862
10.302,-14.904,-20.706,29.101
10.316,-15.620,-19.830,32.334
10.330,-16.074,-18.247,35.335
10.345,-16.216,-16.025,37.883
10.359,-16.013,-13.321,39.776
10.373,-15.463,-10.389,40.907
10.387,-14.594,-7.474,41.270
10.401,-13.465,-4.777,40.937
10.416,-12.113,-2.383,40.031
10.430,-10.653,-0.463,38.731
10.445,-9.166,0.970,37.198
10.460,-7.717,1.975,35.583
10.475,-6.307,2.657,33.938
10.490,-5.019,3.055,32.358
10.505,-3.871,3.248,30.873
10.520,-2.867,3.308,29.492
10.541,-1.724,3.274,27.774
10.561,-0.805,3.183,26.216
10.582,-0.074,3.097,24.793
10.602,0.508,3.053,23.488
10.622,0.967,3.067,22.326
10.642,1.352,3.148,21.250
10.661,1.685,3.304,20.255
10.681,1.993,3.537,19.338
10.701,2.299,3.848,18.498
10.721,2.614,4.247,17.740
10.740,2.949,4.742,17.071
10.760,3.323,5.339,16.500
10.784,3.845,6.204,15.960
10.808,4.459,7.250,15.621
10.832,5.183,8.493,15.535
10.855,6.037,9.927,15.773
10.883,7.187,11.764,16.541
10.910,8.522,13.718,18.022
10.937,10.001,15.562,20.352
10.964,11.513,16.913,23.545
10.982,12.422,17.298,25.991
11.000,13.202,17.155,28.594
11.017,13.783,16.409,31.174
11.035,14.100,15.061,33.522
11.052,14.109,13.190,35.416
11.070,13.786,10.999,36.702
11.087,13.146,8.710,37.314
11.105,12.244,6.508,37.270
11.124,11.060,4.415,36.616
11.143,9.757,2.747,35.496
11.162,8.436,1.540,34.071
11.181,7.171,0.743,32.524
11.199,6.069,0.280,31.056
11.217,5.092,0.041,29.613
11.235,4.250,-0.035,28.223
11.253,3.545,-0.002,26.898
11.276,2.818,0.137,25.279
11.299,2.279,0.337,23.766
11.323,1.900,0.565,22.352
11.346,1.650,0.807,21.030
11.375,1.469,1.133,19.523
11.403,1.418,1.482,18.139
11.432,1.493,1.861,16.871
11.461,1.657,2.316,15.720
11.484,1.842,2.777,14.869
11.508,2.095,3.329,14.104
11.531,2.423,3.994,13.437
11.554,2.838,4.804,12.886
11.587,3.590,6.222,12.366
11.620,4.596,8.090,12.246
11.653,5.909,10.469,12.741
11.686,7.583,13.296,14.187
11.705,8.752,15.096,15.660
11.724,10.032,16.851,17.715
11.744,11.379,18.368,20.404
11.763,12.716,19.397,23.694
11.783,13.939,19.654,27.465
11.802,14.896,18.893,31.345
11.821,15.440,17.037,34.892
11.841,15.475,14.226,37.704
11.856,15.097,11.511,39.180
11.872,14.372,8.690,39.869
11.888,13.350,6.010,39.814
11.903,12.108,3.650,39.131
11.919,10.723,1.699,37.993
11.935,9.292,0.215,36.574
11.950,7.888,-0.827,35.012
11.966,6.565,-1.506,33.428
11.983,5.282,-1.937,31.798
12.000,4.149,-2.143,30.248
12.016,3.170,-2.199,28.795
12.033,2.342,-2.167,27.438
12.054,1.496,-2.071,25.863
12.075,0.831,-1.960,24.409
12.096,0.313,-1.870,23.060
12.117,-0.092,-1.821,21.802
12.143,-0.490,-1.822,20.381
12.168,-0.807,-1.906,19.072
12.194,-1.066,-2.089,17.869
12.219,-1.316,-2.366,16.763
12.241,-1.552,-2.673,15.896
12.262,-1.811,-3.066,15.103
12.284,-2.103,-3.559,14.390
12.306,-2.445,-4.164,13.765
12.332,-2.940,-5.051,13.158
12.358,-3.551,-6.165,12.735
12.383,-4.303,-7.548,12.557
12.409,-5.232,-9.224,12.720
12.438,-6.504,-11.423,13.446
12.467,-8.060,-13.947,15.024
12.496,-9.881,-16.548,17.722
12.524,-11.841,-18.662,21.721
12.541,-12.945,-19.349,24.616
12.557,-13.938,-19.428,27.788
12.574,-14.732,-18.767,31.035
12.591,-15.245,-17.321,34.098
12.607,-15.404,-15.143,36.675
12.624,-15.164,-12.474,38.530
12.640,-14.526,-9.603,39.542
12.657,-13.543,-6.772,39.705
12.673,-12.346,-4.295,39.172
12.689,-10.991,-2.239,38.128
12.705,-9.571,-0.659,36.741
12.721,-8.162,0.470,35.192
12.737,-6.842,1.219,33.642
12.753,-5.628,1.677,32.114
12.768,-4.540,1.918,30.648
12.784,-3.588,2.010,29.262
12.807,-2.464,1.992,27.434
12.829,-1.579,1.887,25.757
12.851,-0.895,1.764,24.212
12.874,-0.373,1.664,22.784
12.894,-0.004,1.609,21.585
12.914,0.290,1.597,20.460
12.934,0.530,1.633,19.404
12.954,0.736,1.718,18.410
12.975,0.928,1.850,17.476
12.995,1.114,2.036,16.600
13.015,1.304,2.281,15.783
13.035,1.509,2.591,15.024
13.060,1.801,3.066,14.177
13.085,2.147,3.673,13.431
13.109,2.564,4.441,12.802
13.134,3.078,5.398,12.317
13.161,3.796,6.716,11.998
13.189,4.702,8.372,11.997
13.216,5.829,10.401,12.455
13.244,7.213,12.767,13.575
13.264,8.389,14.635,14.945
13.284,9.694,16.506,16.914
13.304,11.091,18.189,19.560
13.324,12.501,19.417,22.875
13.339,13.554,19.857,25.909
13.355,14.470,19.650,29.136
13.371,15.163,18.697,32.340
13.387,15.560,16.994,35.267
13.403,15.603,14.630,37.641
13.419,15.260,11.860,39.268
13.434,14.543,8.961,40.069
13.450,13.509,6.167,40.066
13.466,12.208,3.629,39.375
13.483,10.759,1.569,38.179
13.499,9.262,0.029,36.660
13.515,7.795,-1.038,35.012
13.531,6.469,-1.710,33.439
13.546,5.259,-2.107,31.908
13.562,4.180,-2.305,30.451
13.577,3.239,-2.368,29.082
13.599,2.158,-2.333,27.335
13.620,1.300,-2.232,25.734
13.642,0.629,-2.124,24.259
13.663,0.107,-2.047,22.895
13.683,-0.283,-2.016,21.708
13.703,-0.600,-2.036,20.597
13.723,-0.865,-2.113,19.557
